City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,lucapa,-8.4192,20.7447,17.91,98,94,1.28,AO,1707258531
150,constantia,44.1833,28.65,9.38,57,35,5.15,RO,1707258277
151,bantogon,6.5333,124.0333,25.03,81,100,0.9,PH,1707258532
152,cockburn town,21.4612,-71.1419,25.07,75,1,15.11,TC,1707258301
153,arraial do cabo,-22.9661,-42.0278,26.98,83,75,2.06,BR,1707258369
154,mahibadhoo,3.7833,72.9667,27.81,78,100,6.21,MV,1707258532
155,pangody,65.85,74.4859,-19.43,100,78,2.86,RU,1707258532
156,saimbeyli,37.9863,36.0906,4.62,85,15,0.87,TR,1707258532
157,mbandaka,0.0487,18.2603,25.1,59,26,1.62,CD,1707258533
158,punta arenas,-53.15,-70.9167,13.06,62,0,5.66,CL,1707258295
159,flying fish cove,-10.4217,105.6791,22.82,100,73,1.54,CX,1707258337
160,bredasdorp,-34.5322,20.0403,21.19,64,7,6.44,ZA,1707258316
161,praia da vitoria,38.7333,-27.0667,18.14,94,75,8.0,PT,1707258316
162,tiksi,71.6872,128.8694,-25.67,99,98,2.75,RU,1707258276
163,tosontsengel,48.7567,98.2839,-29.0,97,83,0.16,MN,1707258533
164,ilulissat,69.2167,-51.1,-10.99,52,100,9.77,GL,1707258282
165,merizo village,13.2658,144.6691,26.85,86,100,6.71,GU,1707258534
166,baley,51.6,116.6333,-24.9,100,44,1.3,RU,1707258534
167,kourou,5.1552,-52.6478,26.03,91,72,4.49,GF,1707258534
168,port lincoln,-34.7333,135.8667,17.48,72,4,3.83,AU,1707258306
169,bam,29.106,58.357,9.85,19,0,1.88,IR,1707258534
170,iqaluit,63.7506,-68.5145,-17.15,59,40,6.17,CA,1707258534
171,nuuk,64.1835,-51.7216,-9.49,73,100,3.76,GL,1707258298
172,maintirano,-18.0667,44.0167,27.33,82,100,3.12,MG,1707258535
173,wucheng,29.6008,118.175,0.61,98,100,1.49,CN,1707258535
174,mar del plata,-38.0023,-57.5575,23.01,88,100,6.26,AR,1707258535
175,carbondale,37.7273,-89.2168,14.0,45,0,4.12,US,1707258535
176,i-n-salah,27.1935,2.4607,15.72,19,31,1.88,DZ,1707258536
177,nova sintra,14.8667,-24.7167,21.2,72,0,3.87,CV,1707258383
178,aoulef,26.9667,1.0833,16.43,19,26,4.24,DZ,1707258536
179,queenstown,-31.8976,26.8753,19.7,68,85,0.91,ZA,1707258307
180,wewak,-3.5534,143.6268,26.43,86,100,3.05,PG,1707258536
181,xilin hot,43.9667,116.0333,-22.94,98,17,2.51,CN,1707258536
182,nemuro,43.3236,145.575,-7.9,72,50,1.55,JP,1707258364
183,salta,-24.7859,-65.4117,24.33,83,40,4.12,AR,1707258537
184,fortuna,40.5982,-124.1573,11.1,79,100,6.69,US,1707258320
185,mount pearl,47.5166,-52.7813,-0.02,97,100,11.32,CA,1707258330
186,saudarkrokur,65.7461,-19.6394,-2.57,78,76,6.21,IS,1707258537
187,anadyr,64.75,177.4833,-23.72,83,75,7.0,RU,1707258268
188,margate,51.3813,1.3862,11.61,86,100,7.6,GB,1707258397
189,la sarre,48.8002,-79.1996,-0.24,93,100,3.43,CA,1707258543
190,turan,16.0678,108.2208,24.99,88,75,1.54,VN,1707258543
191,funafuti,-8.5243,179.1942,29.0,89,75,6.17,TV,1707258543
192,port elizabeth,-33.918,25.5701,21.29,88,20,8.75,ZA,1707258297
193,page,36.9147,-111.4558,13.95,43,0,9.26,US,1707258544
194,ataq,14.5377,46.8319,16.79,79,1,2.92,YE,1707258544
195,oil city,41.4339,-79.7064,6.77,40,0,0.0,US,1707258544
196,savran,48.1322,30.0825,8.13,67,100,5.53,UA,1707258544
197,codrington,-38.2667,141.9667,15.74,72,46,1.88,AU,1707258340
198,tofol,5.3248,163.0078,28.88,79,75,6.69,FM,1707258307
199,pingliang,35.5392,106.6861,-4.7,78,100,1.13,CN,1707258544
200,crane,31.3974,-102.3501,17.28,36,100,9.12,US,1707258545
201,kingston,17.997,-76.7936,28.53,60,75,8.23,JM,1707258027
202,lerwick,60.1545,-1.1494,1.0,57,99,8.6,GB,1707258320
203,saipan,15.1355,145.701,26.39,61,0,4.63,MP,1707258337
204,mwene-ditu,-7.0,23.45,17.56,95,90,0.51,CD,1707258545
205,bonthe,7.5264,-12.505,27.09,85,0,3.79,SL,1707258545
206,severnoye,56.3491,78.3619,-8.34,93,100,3.58,RU,1707258546
207,dakhla,23.6848,-15.958,20.4,56,100,7.26,EH,1707258546
208,tra vinh,9.9347,106.3453,23.64,94,74,2.49,VN,1707258546
209,cabo san lucas,22.8909,-109.9124,28.12,58,20,5.66,MX,1707257977
210,mokhotlong,-29.2894,29.0675,14.39,56,13,0.89,LS,1707258546
211,susuman,62.7833,148.1667,-33.34,99,99,1.34,RU,1707258350
212,cabedelo,-6.9811,-34.8339,29.37,76,57,5.07,BR,1707258547
213,mata-utu,-13.2816,-176.1745,28.68,80,100,8.03,WF,1707258288
214,tateyama,34.9833,139.8667,5.61,71,100,5.19,JP,1707258547
215,whitehorse,60.7161,-135.0538,-15.57,85,100,3.09,CA,1707258168
216,abu dhabi,24.4667,54.3667,22.19,46,0,4.63,AE,1707258547
217,najran,17.4924,44.1277,16.36,43,51,1.81,SA,1707258547
218,kaoma,-14.7833,24.8,18.81,92,70,1.6,ZM,1707258548
219,rikaze,29.25,88.8833,-5.34,25,0,1.43,CN,1707258393
220,leava,-14.3,-178.1667,27.98,79,99,3.07,WF,1707258279
221,hasaki,35.7333,140.8333,0.16,55,86,6.46,JP,1707258281
222,briviesca,42.5499,-3.3232,4.08,85,42,3.11,ES,1707258548
223,banda aceh,5.5577,95.3222,24.9,88,68,4.51,ID,1707258302
224,flin flon,54.7682,-101.865,-13.09,78,100,2.57,CA,1707258548
225,puerto deseado,-47.7503,-65.8938,23.62,32,100,13.38,AR,1707258315
226,laojunmiao,39.8333,97.7333,-8.37,68,100,0.6,CN,1707258345
227,san luis de la loma,17.2706,-100.8939,28.65,60,3,3.3,MX,1707258325
228,portland,45.5234,-122.6762,11.76,80,75,2.06,US,1707258042
229,nuku'alofa,-21.1333,-175.2,27.19,74,40,4.63,TO,1707258549
230,karratha,-20.7377,116.8463,26.67,70,47,1.2,AU,1707258550
231,san martin de los andes,-40.1604,-71.3486,15.56,96,100,2.26,AR,1707258550
232,poronaysk,49.2167,143.1167,-22.75,96,17,1.49,RU,1707258385
233,sisimiut,66.9395,-53.6735,-9.1,87,100,8.21,GL,1707258336
234,richmond,37.5538,-77.4603,6.66,41,20,5.66,US,1707257887
235,vorkuta,67.5,64.0,-26.22,99,92,1.26,RU,1707258550
236,el granada,37.5027,-122.4694,15.94,64,0,5.14,US,1707258550
237,wanganui,-39.9333,175.05,21.88,54,2,4.68,NZ,1707258266
238,saint-pierre,-21.3393,55.4781,22.82,68,0,2.57,RE,1707258270
239,jamestown,42.097,-79.2353,3.9,54,0,2.06,US,1707258310
240,kisangani,0.5167,25.2,24.68,53,37,0.18,CD,1707258551
241,benguela,-12.5763,13.4055,27.24,75,90,0.43,AO,1707258392
242,udachny,66.4167,112.4,-30.31,74,96,1.88,RU,1707258280
243,afif,23.9065,42.9172,10.65,31,0,5.94,SA,1707258551
244,stanley,54.868,-1.6985,3.77,74,0,2.06,GB,1707258272
245,ialibu,-6.2821,143.9935,15.6,95,100,0.37,PG,1707258552
246,porto uniao,-26.2381,-51.0783,21.58,83,98,0.99,BR,1707258552
247,sao vicente,-23.9631,-46.3919,29.1,51,100,3.58,BR,1707258552
248,northam,51.0333,-4.2167,13.14,98,100,9.27,GB,1707258331
249,colonia,50.9333,6.95,12.2,68,0,9.77,DE,1707258105
250,shelton,41.3165,-73.0932,4.45,53,0,4.63,US,1707258421
251,qamdo,31.1667,97.2333,-8.85,49,97,3.21,CN,1707258553
252,kruisfontein,-34.0033,24.7314,19.7,84,55,6.13,ZA,1707258344
253,dunedin,-45.8742,170.5036,16.56,76,100,4.02,NZ,1707258323
254,egilsstadir,65.2653,-14.3948,-5.05,93,100,1.03,IS,1707258359
